CustomerID,Region,Province,City,EnrollmentDate,CancelDate,ProductType,PlanName,Price,SalesChannel,Source,UtilityProvider,ContractDurationMonths,Usage,UsageUnit,SupportTickets,PricePerUnit,EstimatedMonthlyBill
CUST00001,quebec,Quebec,Laval,21/09/2023,15/01/2024,Electricity,Standrad,62.86, phone,tv,HQ,12,512.74,kWh,1,0.12,61.53
CUST00002,SASKATCHEWAN,Saskatchewan,Saskatoon,08/02/2021,,Electricity,basic,113.03,Phone,TV,SaskPower,24,1171.46,kWh,2,0.12,140.58
CUST00003,British Columbia ,British Columbia,Surrey,04/03/2022,,Electricity,Standrad,68.7, online,Facebook,BC Hydro,6,1239.84,kWh,2,0.12,148.78
CUST00004, alberta,Alberta,Lethbridge,16/01/2022,,Electricity,Prmium,111.96, phone,Google Ads,E.P.C.O.R,12,816.39,kWh,1,0.12,97.97
CUST00005,ontario,Ontario,Mississauga,13/12/2021,,Electricity,Prmium,74.64, online,tv,enbridge gas,18,818.14,kWh,4,0.12,98.18
CUST00006,ONTARIO,Ontario,Toronto,05/08/2021,,Home Services,basic,42.77,,tv,Hydro One,18,,N/A,1,,
CUST00007,ontario,Ontario,Toronto,09/06/2021,,Electricity,Prmium,79.14,EMAIL,N/A,Hydro One,24,841.28,kWh,2,0.12,100.95
CUST00008,manitoba,Manitoba,Brandon,18/11/2023,,Electricity,Standrad,140.8, Email, facebook,manitoba hydro,12,1017.5,kWh,3,0.12,122.1
CUST00009, alberta,Alberta,Edmonton,28/04/2023,03/08/2023,Natural Gas,Premium,103.37, Email,Referral,EPCOR,24,57.07,GJ,0,3.5,199.75
CUST00010,B.C.,British Columbia,Kelowna,07/07/2023,,Natural Gas,Standard,94.54,,Facebook,BCH,18,195.66,GJ,2,3.5,684.81
CUST00011,Ontario ,Ontario,Toronto,18/10/2022,,Natural Gas,Premium,80.61, phone,Facebook,enbridge gas,12,50.49,GJ,1,3.5,176.72
CUST00012,Saskatchewan ,Saskatchewan,Regina,19/02/2021,,Electricity,Prmium,103.97, phone, facebook,SPWR,18,1256.49,kWh,1,0.12,150.78
CUST00013,Manitoba,Manitoba,Brandon,16/02/2021,,Electricity,basic,133.44,,TV,manitoba hydro,12,1441.64,kWh,1,0.12,173
CUST00014,ONTARIO,Ontario,Hamilton,26/05/2021,,Electricity,premium ,127.97,in person,Facebook,Enbridge,24,1359.68,kWh,1,0.12,163.16
CUST00015,Ontario ,Ontario,Mississauga,06/12/2021,,Home Services,Standard,40.29,,tv,Hydro One,12,,N/A,2,,
CUST00016,ontario,Ontario,Toronto,28/12/2021,,Home Services,Basic,71.58, phone,tv,Hydro One,18,,N/A,2,,
CUST00017,ontario,Ontario,Hamilton,25/02/2023,06/07/2024,Home Services,basic,68.45,in person,Referral,Enbridge,6,,N/A,1,,
CUST00018, QUEBEC,Quebec,Gatineau,11/02/2021,,Natural Gas,Standard,44.85, online,Referral,HQ,12,179.58,GJ,2,3.5,628.53
CUST00019,quebec,Quebec,Quebec City,22/05/2023,,Home Services,Green,47.76, phone,,Hydro Quebec,6,,N/A,3,,
CUST00020,ONTARIO,Ontario,Toronto,05/11/2021,,Home Services,Premium,44.38,EMAIL,tv,Hydro One,24,,N/A,2,,
CUST00021,Alberta,Alberta,Calgary,18/01/2024,26/10/2024,Natural Gas,Standrad,95.73,,,epcor,12,108.56,GJ,2,3.5,379.96
CUST00022,Ontario ,Ontario,Ottawa,26/12/2023,,Electricity,Prmium,65.14,EMAIL,TV,Hydro-One,6,1037.1,kWh,3,0.12,124.45
CUST00023,ontario,Ontario,Toronto,27/04/2023,,Electricity,Standard,144.74,in person,Google Ads,hydro one,6,1142.73,kWh,1,0.12,137.13
CUST00024,Quebec,Quebec,Gatineau,14/10/2022,,Home Services,Flex,60.18, online,tv,hydro quebec,18,,N/A,1,,
CUST00025,quebec,Quebec,Gatineau,09/12/2021,,Home Services,Standard,20.56, phone,Referral,hydro quebec,12,,N/A,2,,
CUST00026,british columbia,British Columbia,Surrey,29/11/2022,,Natural Gas,Premium,75.05,,Facebook,fortis bc,6,181.89,GJ,0,3.5,636.62
CUST00027,ONTARIO,Ontario,Mississauga,05/07/2023,,Electricity,premium ,73.99,Online,tv,Hydro One,18,547.72,kWh,2,0.12,65.73
CUST00028,Quebec,Quebec,Quebec City,09/03/2022,,Home Services,Basic,25.54, Email,Facebook,hydro quebec,6,,N/A,0,,
CUST00029,ALBERTA,Alberta,Calgary,11/01/2021,,Electricity,Standrad,110.48, phone,Referral,E.P.C.O.R,12,688.15,kWh,1,0.12,82.58
